"icao","airport"
"","Meyers Chuck Seaplane Base"
"KLAW","Lawton-Fort Sill Regional Airport"
"KDVP","Slayton Municipal Airport"
"PAWM","White Mountain Airport"
"KLAS","Harry Reid International Airport"
"KLAR","Laramie Regional Airport"
"KNTD","NAS Point Mugu (Naval Base Ventura County)"
"PANA","Napakiak Airport"
"KDSV","Dansville Municipal Airport"
"KLAN","Capital Region International Airport"
"KLAM","Los Alamos County Airport"
"","Manti-Ephraim Airport"
"KDSM","Des Moines International Airport"
"KLAL","Lakeland Linder International Airport"
"KLAA","Lamar Municipal Airport"
"KNTU","NAS Oceana (Apollo Soucek Field)"
"KDTS","Destin Executive Airport"
"PAQT","Nuiqsut Airport"
"PANU","Nulato Airport"
"KNUN","NOLF Saufley Field"
"PAUO","Willow Airport"
"","Nunapitchuk Airport"
"KNUQ","Moffett Federal Airfield"
"","Drummond Airport"
"KDRT","Del Rio International Airport"
"KDRO","Durango-La Plata County Airport"
"","Zachar Bay Seaplane Base"
"","North Fork Valley Airport"
"KNUW","NAS Whidbey Island (Ault Field)"
"KDRI","Beauregard Regional Airport"
"PADE","Deering Airport"
"KWRB","Robins Air Force Base"
"KNVD","Nevada Municipal Airport"
"PAWG","Wrangell Airport"
"KWRI","McGuire Air Force Base"
"KWRL","Worland Municipal Airport"
"","Drift River Airport"
"","Nervino Airport"
"KDRM","Drummond Island Airport"
"KDRA","Desert Rock Airport"
"PFKU","Koyukuk Airport"
"","Steamboat Bay Seaplane Base"
"KWSD","Condron Army Airfield"
"PACS","Cape Sarichef Airport"
"KAFJ","Washington County Airport"
"KHWV","Brookhaven Airport"
"","Wiseman Airport"
"PFWS","South Naknek Airport"
"","Parlin Field"
"","Tampa North Aero Park"
"KWST","Westerly State Airport"
"","Westsound Seaplane Base"
"KMFV","Accomack County Airport"
"KNYG","MCAF Quantico (Turner Field)"
"PAKY","Karluk Airport"
"KDPG","Michael Army Airfield"
"KMGM","Montgomery Regional Airport (Dannelly Field)"
"PAWN","Noatak Airport"
"","Tuntutuliak Airport"
"KDPA","DuPage Airport"
"KNZY","NAS North Island (Halsey Field)"
"","Kasaan Seaplane Base"
"","Whiteriver Airport"
"PFKW","Kwethluk Airport"
"KOAJ","Albert J. Ellis Airport"
"KDOV","Dover Air Force Base"
"KOAK","Oakland International Airport"
"","West Point Village Seaplane Base"
"KOAR","Marina Municipal Airport"
"PAQH","Quinhagak Airport"
"PAGG","Kwigillingok Airport"
"KOBE","Okeechobee County Airport"
"","Waterfall Seaplane Base"
"PAOB","Kobuk Airport"
"","Ocean Reef Club Airport"
"PAVL","Kivalina Airport"
"KWVI","Watsonville Municipal Airport"
"KOXB","Ocean City Municipal Airport"
"KWVL","Waterville Robert LaFleur Airport"
"KDNV","Vermilion Regional Airport"
"PAWS","Wasilla Airport"
"KWWD","Cape May Airport"
"KDNS","Denison Municipal Airport"
"KOCF","Ocala International Airport (Jim Taylor Field)"
"","North Whale Seaplane Base"
"KWWR","West Woodward Airport"
"PAEW","Newtok Airport"
"KOCH","A.L. Mangham Jr. Regional Airport"
"KDNN","Dalton Municipal Airport"
"KDNL","Daniel Field"
"","Yes Bay Lodge Seaplane Base"
"KOKB","Oceanside Municipal Airport"
"PAVC","King Cove Airport"
"KWYS","Yellowstone Airport"
"KOCW","Washington-Warren Airport (Warren Field)"
"","Oakdale Airport"
"KDMO","Sedalia Regional Airport"
"KDMN","Deming Municipal Airport"
"PFKA","Kasigluk Airport"
"","Garrett County Airport"
"KOKH","A.J. Eisenberg Airport"
"KOEO","L.O. Simenstad Municipal Airport"
"KDMA","Davis-Monthan Air Force Base"
"KOFF","Offutt Air Force Base"
"KDLS","Columbia Gorge Regional Airport (The Dalles Municipal Airport)"
"KDLN","Dillon Airport"
"KOFK","Norfolk Regional Airport (Karl Stefan Memorial Field)"
"KOGA","Searle Field"
"KDLC","Dillon County Airport"
"KDLH","Duluth International Airport"
"PADL","Dillingham Airport"
"KDLF","Laughlin Air Force Base"
"","Grand Geneva Resort Airport"
"KOGB","Orangeburg Municipal Airport"
"KOGD","Ogden-Hinckley Airport"
"KDKK","Chautauqua County/Dunkirk Airport"
"PHOG","Kahului Airport"
"","Delta Junction Airport"
"KOGS","Ogdensburg International Airport"
"PFKT","Brevig Mission Airport"
"PAKT","Ketchikan International Airport"
"KOIC","Lt. Warren Eaton Airport"
"","Tikchik Lodge Seaplane Base"
"KDIK","Dickinson Theodore Roosevelt Regional Airport"
"KDHT","Dalhart Municipal Airport"
"KOJC","Johnson County Executive Airport"
"","Thorne Bay Seaplane Base"
"KOKC","Will Rogers World Airport"
"KOKM","Okmulgee Regional Airport"
"KDHN","Dothan Regional Airport"
"PASM","St. Mary's Airport"
"KOKS","Garden County Airport"
"","Deer Harbor Sea Plane Base"
"KOLD","Old Town Municipal Airport and Seaplane Base (Dewitt Field)"
"KOLE","Cattaraugus County-Olean Airport"
"KDGW","Converse County Airport"
"KMDS","Madison Municipal Airport"
"KOLF","L. M. Clayton Airport"
"","Old Harbor Airport"
"KOLM","Olympia Regional Airport"
"KOLS","Nogales International Airport"
"KOLU","Columbus Municipal Airport"
"KOLV","Olive Branch Airport"
"KOLY","Olney-Noble Airport"
"KNDY","Naval Surface Warfare Center Dahlgren Division"
"KXNA","Northwest Arkansas Regional Airport"
"KOMA","Eppley Airfield"
"KDGL","Douglas Municipal Airport"
"KDFW","Dallas/Fort Worth International Airport"
"KDFI","Defiance Memorial Airport"
"PAOM","Nome Airport"
"KOMK","Omak Airport"
"KIEN","Pine Ridge Airport"
"KDEN","Denver International Airport"
"KONA","Winona Municipal Airport (Max Conrad Field)"
"KDEH","Decorah Municipal Airport"
"","Akutan Seaplane Base"
"KDEC","Decatur Airport"
"","Oneonta Municipal Airport"
"","Port Bailey Seaplane Base"
"KTNX","Tonopah Test Range Airport"
"KONL","O'Neill Municipal Airport (John L. Baker Field)"
"KDDC","Dodge City Regional Airport"
"KONM","Socorro Municipal Airport"
"KONO","Ontario Municipal Airport"
"KDCU","Pryor Field Regional Airport"
"","Dahl Creek Airport"
"KONP","Newport Municipal Airport"
"","Dubois Municipal Airport"
"PAPE","Perryville Airport"
"KONT","Ontario International Airport"
"KDBQ","Dubuque Regional Airport"
"KDBN","W. H. 'Bud' Barron Airport"
"","Jackpot Airport (Hayden Field)"
"KONY","Olney Municipal Airport"
"KDAY","Dayton International Airport"
"KOOA","Oskaloosa Municipal Airport"
"PAOO","Toksook Bay Airport"
"","Port Williams Seaplane Base"
"PAKI","Kipnuk Airport"
"PAYA","Yakutat Airport"
"KDAN","Danville Regional Airport"
"KOPF","Miami-Opa Locka Executive Airport"
"KDAL","Dallas Love Field"
"KDAG","Barstow-Daggett Airport"
"KDAB","Daytona Beach International Airport"
"KDAA","Davison Army Airfield"
"PAPC","Port Clarence Coast Guard Station"
"KCZT","Dimmit County Airport"
"","Cape Pole Seaplane Base"
"","Chistochina Airport"
"","Chisana Airport"
"KOPL","St. Landry Parish Airport (Ahart Field)"
"KCZK","Cascade Locks State Airport"
"","Point Baker Seaplane Base"
"PACZ","Cape Romanzof LRRS Airport"
"","Copper Center 2 Airport"
"","Ouzinkie Airport"
"","Olga Bay Seaplane Base"
"KORF","Norfolk International Airport"
"KORH","Worcester Regional Airport"
"PACY","Yakataga Airport"
"KCYS","Cheyenne Regional Airport (Jerry Olson Field)"
"KORI","Port Lions Airport"
"","Chatham Seaplane Base"
"PFKO","Kotlik Airport"
"PACK","Chefornak Airport"
"KORL","Orlando Executive Airport"
"KCXO","Lone Star Executive Airport"
"PHKO","Kona International Airport at Keahole"
"KCXL","Calexico International Airport"
"PAOR","Northway Airport"
"PACX","Coldfoot Airport"
"","Chitina Airport"
"","Cochise County Airport"
"","Center Island Airport"
"KCWI","Clinton Municipal Airport"
"KCWF","Chennault International Airport"
"PFNO","Robert (Bob) Curtis Memorial Airport"
"KCWA","Central Wisconsin Airport"
"PANW","New Stuyahok Airport"
"KCVS","Cannon Air Force Base"
"KCVO","Corvallis Municipal Airport"
"KCVN","Clovis Municipal Airport"
"KTKX","Kennett Memorial Airport"
"PFKK","Kokhanok Airport"
"KCVG","Cincinnati/Northern Kentucky International Airport"
"","Grand Glaize-Osage Beach Airport"
"","Cuddihy Field"
"KOSC","Oscoda-Wurtsmith Airport"
"","Columbus Municipal Airport"
"KOSH","Wittman Regional Airport"
"KKNB","Kanab Municipal Airport"
"","Moser Bay Seaplane Base"
"KCUH","Cushing Municipal Airport"
"KCUB","Jim Hamilton-L.B. Owens Airport"
"KOSU","Ohio State University Airport"
"KCTZ","Clinton-Sampson County Airport"
"KCTY","Cross City Airport"
"","Cortland County Airport (Chase Field"
"","Cottonwood Airport"
"","Calverton Executive Airpark"
"KOSX","Kosciusko-Attala County Airport"
"","Canton Municipal Airport"
"KMQS","Chester County G. O. Carlson Airport"
"KOTG","Worthington Municipal Airport"
"KOTH","Southwest Oregon Regional Airport"
"KTMK","Tillamook Airport"
"KOTM","Ottumwa Regional Airport"
"KCTB","Cut Bank Municipal Airport"
"","Anacortes Airport"
"KCSV","Crossville Memorial-Whitson Field"
"KCSQ","Creston Municipal Airport"
"KCXP","Carson Airport"
"KCSM","Clinton-Sherman Airport"
"PAOT","Ralph Wien Memorial Airport"
"PAMB","Manokotak Airport"
"KCSG","Columbus Airport"
"","Buckhorn Ranch Airport"
"KOUN","University of Oklahoma Westheimer Airport (Max Westheimer Airport)"
"PAKW","Klawock Airport"
"KCRX","Roscoe Turner Airport"
"KCRW","Yeager Airport"
"KCRT","Z. M. Jack Stell Field"
"KCRS","C. David Campbell Field (Corsicana Municipal Airport)"
"KCRP","Corpus Christi International Airport"
"KCRO","Corcoran Airport"
"KOVE","Oroville Municipal Airport"
"KKLS","Southwest Washington Regional Airport"
"KCRG","Jacksonville Executive at Craig Airport"
"KCRE","Grand Strand Airport"
"KOWA","Owatonna Degner Regional Airport"
"TJCP","Benjamin Rivera Noriega Airport"
"KCPS","St. Louis Downtown Airport"
"KCPR","Casper-Natrona County International Airport"
"KCPM","Compton/Woodley Airport"
"KOWB","Owensboro-Daviess County Airport"
"KOWD","Norwood Memorial Airport"
"KCOU","Columbia Regional Airport"
"KCOT","Cotulla-La Salle County Airport"
"KCOS","Colorado Springs Airport"
"KOWK","Central Maine Airport of Norridgewock"
"","Cooperstown-Westville Airport"
"KCON","Concord Municipal Airport"
"KCOM","Coleman Municipal Airport"
"KCOI","Merritt Island Airport"
"KCOF","Patrick Air Force Base"
"KCOE","Coeur d'Alene Airport"
"KCOD","Yellowstone Regional Airport"
"","Columbia Airport"
"KCNY","Canyonlands Field"
"PALB","Larsen Bay Airport"
"KCNW","TSTC Waco Airport"
"KCNU","Chanute Martin Johnson Airport"
"KCNO","Chino Airport"
"KCNM","Cavern City Air Terminal"
"KCNK","Blosser Municipal Airport"
"KCNH","Claremont Municipal Airport"
"","Fremont County Airport"
"KOXC","Waterbury-Oxford Airport"
"KOXD","Miami University Airport"
"","Levelock Airport"
"KCMY","Sparta/Fort McCoy Airport"
"KCMX","Houghton County Memorial Airport"
"PALG","Kalskag Airport"
"KOXR","Oxnard Airport"
"","Ekuk Airport"
"KOZA","Ozona Municipal Airport"
"KOZR","Cairns Army Airfield"
"KPAE","Paine Field (Snohomish County Airport)"
"KPAH","Barkley Regional Airport"
"KCMI","University of Illinois Willard Airport"
"KCMH","John Glenn Columbus International Airport"
"PHPA","Port Allen Airport"
"KPAM","Tyndall Air Force Base"
"KCLW","Clearwater Air Park"
"KCLT","Charlotte Douglas International Airport"
"KCLS","Chehalis-Centralia Airport"
"KCLR","Cliff Hatfield Memorial Airport"
"KPAO","Palo Alto Airport (Santa Clara County Airport)"
"PFCL","Clarks Point Airport"
"KCLM","William R. Fairchild International Airport"
"KCLL","Easterwood Airport (Easterwood Field)"
"KCLK","Clinton Regional Airport"
"","Karluk Lake Seaplane Base"
"PAAQ","Palmer Municipal Airport"
"KCLI","Clintonville Municipal Airport"
"","New Coalinga Municipal Airport"
"KCLE","Cleveland Hopkins International Airport"
"KCRQ","McClellan-Palomar Airport"
"","Kalakaket Creek Air Station"
"","Chicken Airport"
"KCKV","Clarksville-Montgomery County Regional Airport (Outlaw Field)"
"","Cordova Municipal Airport"
"","Crane Island Airstrip"
"KCKN","Crookston Municipal Airport (Kirkwood Field)"
"KYKM","Yakima Air Terminal (McAllister Field)"
"KYKN","Chan Gurney Municipal Airport"
"","Akiachak Airport"
"KCKM","Fletcher Field"
"PADY","Kongiganak Airport"
"","Kitoi Bay Seaplane Base"
"KCVK","Sharp County Regional Airport"
"PAKK","Koyuk Alfred Adams Airport"
"","Lampson Field"
"","Crooked Creek Airport"
"KPBF","Grider Field"
"KCKB","North Central West Virginia Airport"
"KCKA","Kegelman Air Force Auxiliary Field"
"KPBG","Plattsburgh International Airport"
"KPBI","Palm Beach International Airport"
"KCWC","Kickapoo Downtown Airport"
"PAOC","Portage Creek Airport"
"KPDC","Prairie du Chien Municipal Airport"
"KKIC","Mesa Del Rey Airport"
"","Ivanof Bay Seaplane Base"
"","Princeton Airport"
"KCIU","Chippewa County International Airport"
"","Poplarville-Pearl River County Airport"
"KCIR","Cairo Regional Airport"
"KMGE","Dobbins Air Reserve Base"
"KCIN","Arthur N. Neu Airport"
"","Council Airport"
"PACI","Chalkyitsik Airport"
"","Pedro Bay Airport"
"KCAG","Craig-Moffat Airport"
"KCID","The Eastern Iowa Airport"
"KCIC","Chico Municipal Airport"
"","Chiloquin State Airport"
"KPDK","DeKalb-Peachtree Airport"
"KPDT","Eastern Oregon Regional Airport"
"KPDX","Portland International Airport"
"","Pelican Seaplane Base"
"","Chuathbaluk Airport"
"","Glacier Creek Airport"
"KCHS","Charleston International Airport / Charleston Air Force Base"
"","Circle Hot Springs Airport"
"KCHO","Charlottesville-Albemarle Airport"
"","Grayling Airport"
"KPEQ","Pecos Municipal Airport"
"PAJZ","Koliganek Airport"
"KLLJ","Challis Airport"
"KCHK","Chickasha Municipal Airport"
"KPFC","Pacific City State Airport"
"KPGA","Page Municipal Airport"
"","Grant County Airport"
"KPGD","Punta Gorda Airport"
"PAKF","False Pass Airport"
"KYNG","Youngstown-Warren Regional Airport"
"KCHA","Chattanooga Metropolitan Airport (Lovell Field)"
"KCGZ","Casa Grande Municipal Airport"
"KPQL","Trent Lott International Airport"
"KCGS","College Park Airport"
"","Port Graham Airport"
"KCGI","Cape Girardeau Regional Airport"
"KPSO","Stevens Field"
"KCGF","Cuyahoga County Airport"
"KCGE","Cambridge-Dorchester Airport"
"KPGR","Kirk Field"
"","Grand Canyon Caverns Airport"
"","Craig Seaplane Base"
"KCFV","Coffeyville Municipal Airport"
"KCFT","Greenlee County Airport"
"KCFD","Coulter Field"
"KCEZ","Cortez Municipal Airport"
"KCEY","Murray-Calloway County Airport"
"","Chena Hot Springs Airport"
"KCEW","Bob Sikes Airport"
"KPGV","Pitt-Greenville Airport"
"KCEU","Oconee County Regional Airport"
"","Ekwok Airport"
"PARL","Central Airport"
"KPHD","Harry Clever Field"
"KPHF","Newport News/Williamsburg International Airport"
"","Kenmore Air Harbor"
"KPHK","Palm Beach County Glades Airport"
"KCEC","Del Norte County Airport (Jack McNamara Field)"
"KPHL","Philadelphia International Airport"
"KCEA","Cessna Aircraft Field"
"KPHN","St. Clair County International Airport"
"KCDW","Essex County Airport"
"PACV","Merle K. (Mudhole) Smith Airport"
"KCDS","Childress Municipal Airport"
"KCDR","Chadron Municipal Airport"
"KCDN","Woodward Field"
"","Candle 2 Airport"
"KCDK","George T. Lewis Airport"
"KCDH","Harrell Field"
"KCDC","Cedar City Regional Airport"
"PACD","Cold Bay Airport"
"KCCY","Northeast Iowa Regional Airport"
"KCCR","Buchanan Field Airport"
"","Crane County Airport"
"KCCB","Cable Airport"
"PAPO","Point Hope Airport"
"KPHP","Philip Airport"
"KPHT","Henry County Airport"
"KCBM","Columbus Air Force Base"
"KCBK","Colby Municipal Airport (Shalz Field)"
"KCBF","Council Bluffs Municipal Airport"
"KCBE","Greater Cumberland Regional Airport"
"KPHX","Phoenix Sky Harbor International Airport"
"KPIA","General Wayne A. Downing Peoria International Airport"
"KCAR","Caribou Municipal Airport"
"KCAO","Clayton Municipal Airpark"
"KCAK","Akron-Canton Airport"
"PAEG","Eagle Airport"
"KCAE","Columbia Metropolitan Airport"
"KCAD","Wexford County Airport"
"KPIB","Hattiesburg-Laurel Regional Airport"
"","Eagle Air Park"
"KBZN","Bozeman Yellowstone International Airport (Gallatin Field)"
"KPIE","St. Pete-Clearwater International Airport"
"KPIH","Pocatello Regional Airport"
"","Nanwalek Airport"
"","Benton Field"
"KPIM","Harris County Airport"
"PAPN","Pilot Point Airport"
"","Blakely Island Airport"
"KPIR","Pierre Regional Airport"
"KBYS","Bicycle Lake Army Airfield (Fort Irwin)"
"KPIT","Pittsburgh International Airport"
"PPIZ","Point Lay LRRS Airport"
"KBYI","Burley Municipal Airport"
"KBYH","Arkansas International Airport"
"KBYG","Johnson County Airport"
"KPAN","Payson Airport"
"","Boundary Airport"
"PAPK","Napaskiak Airport"
"KPKB","Mid-Ohio Valley Regional Airport"
"","Borrego Valley Airport"
"KPKD","Park Rapids Municipal Airport (Konshok Field)"
"KPKF","Park Falls Municipal Airport"
"KBXK","Buckeye Municipal Airport"
"PAKD","Kodiak Municipal Airport"
"","Colorado Creek Airport"
"","Chignik Lake Airport"
"KBXA","George R. Carr Memorial Air Field"
"KPLK","M. Graham Clark Downtown Airport"
"KBPP","Bowman Municipal Airport"
"KBKN","Blackwell-Tonkawa Municipal Airport"
"","Chernofski Harbor Seaplane Base"
"KBWG","Bowling Green-Warren County Regional Airport"
"KBWD","Brownwood Regional Airport"
"KBWC","Brawley Municipal Airport"
"KPLN","Pellston Regional Airport (Emmet County)"
"KBVY","Beverly Municipal Airport"
"KBVX","Batesville Regional Airport"
"KPLR","St. Clair County Airport"
"PABG","Beluga Airport"
"KBVO","Bartlesville Municipal Airport"
"","Chignik Lagoon Airport (Chignik Flats Airport)"
"KBUR","Bob Hope Airport"
"KPMB","Pembina Municipal Airport"
"KBUM","Butler Memorial Airport"
"KPMD","Palmdale Regional Airport"
"","Coffman Cove Seaplane Base"
"KBUF","Buffalo Niagara International Airport"
"KBUB","Cram Field"
"KPMH","Greater Portsmouth Regional Airport"
"KBTY","Beatty Airport"
"KBTV","Burlington International Airport"
"","Chignik Bay Seaplane Base"
"PABT","Bettles Airport"
"PAAL","Port Moller Airport"
"KBTR","Baton Rouge Metropolitan Airport (Ryan Field)"
"KNYL","Yuma International Airport / MCAS Yuma"
"","Metropolitan Airport"
"KBTP","Butler County Airport (K.W. Scholter Field)"
"","Bell Island Hot Springs Seaplane Base"
"KBBP","Marlboro County Jetport"
"KBTM","Bert Mooney Airport"
"KBTL","W. K. Kellogg Airport"
"KPNC","Ponca City Regional Airport"
"PABA","Barter Island LRRS Airport"
"KBTF","Skypark Airport"
"","Birch Creek Airport"
"KPNE","Northeast Philadelphia Airport"
"KPNN","Princeton Municipal Airport"
"KPNS","Pensacola International Airport"
"","Boswell Bay Airport"
"","Bisbee Municipal Airport"
"PAKV","Kaltag Airport"
"","Panguitch Municipal Airport"
"KGYI","North Texas Regional Airport"
"PHSF","Bradshaw Army Airfield"
"PAFE","Kake Airport"
"KPOB","Pope Field (Pope AFB)"
"KBRY","Samuels Field"
"PABR","Wiley Post-Will Rogers Memorial Airport"
"KBRO","Brownsville/South Padre Island International Airport"
"KBRL","Southeast Iowa Regional Airport"
"KBRD","Brainerd Lakes Regional Airport"
"","Bartlett Cove Seaplane Base"
"KPOC","Brackett Field"
"TJBQ","Rafael Hernandez Airport"
"KBQK","Brunswick Golden Isles Airport"
"KPOE","Polk Army Airfield"
"KPOF","Poplar Bluff Municipal Airport"
"KPOH","Pocahontas Municipal Airport"
"KJXN","Jackson County Airport (Reynolds Field)"
"KJVL","Southern Wisconsin Regional Airport"
"KBPT","Jack Brooks Regional Airport"
"","Central Jersey Regional Airport"
